N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.973875,0.01840983093349856,0.9736450711730789,0.01873906866608634,0.9771865917783806,0.014900880603600869,0.973875,0.018409830933498527,0.9155625000000001,0.039343390089696124,0.9141494233401251,0.0399686371454287,0.9352261681371814,0.027419341773583062,0.9155625000000001,0.039343390089696124,15.472269512499985,0.1875813652056624,0.795453262499997,0.02856620896885872,5.249147912500003,0.07458234195348414,0.8476676000000012,0.028449488499852113,4.91326208749998,0.05879850182883655
6,0.9417500000000001,0.08376977378505923,0.936008230122212,0.09586517176251859,0.9669603269686124,0.04029541486564542,0.9417500000000001,0.08376977378505923,0.8670625,0.08316904378282823,0.8556583557420652,0.09219250301644491,0.9145840721971805,0.04739955626959396,0.8670625000000001,0.08316904378282822,15.325991875000014,0.16111902024434546,0.7924525749999844,0.03435641770849523,5.257935750000016,0.07057054978904534,0.8736605749999882,0.04250567831041082,4.986090487499993,0.09232762492012955
7,0.9539375000000001,0.03971180358218449,0.9515853152061744,0.04219755367498099,0.9658938004858908,0.02761963296689285,0.9539375000000001,0.03971180358218449,0.9081874999999999,0.045015231797137276,0.9055214219425982,0.04574723042866264,0.9372546174972889,0.01857785651596085,0.9081874999999999,0.045015231797137255,16.46857521249997,0.23494012966898084,0.7749948625000087,0.019701015937623013,5.099151612500009,0.07791059209352544,0.8323171374999845,0.029348304344452215,4.779856450000011,0.09056750513065549
8,0.931625,0.04255345902508984,0.9292045065382519,0.04450251783653967,0.9494092626964321,0.025571804875772146,0.9316249999999999,0.04255345902508985,0.8928125,0.040311240290395435,0.8853570488131889,0.04526895891342142,0.9253016825063545,0.022276283618214,0.8928125,0.04031124029039547,16.163657687499978,0.19408877514898484,0.734141375000064,0.005226890216124436,4.912873587499973,0.04050226714706933,0.8940620874999468,0.08652696744349352,4.696387850000036,0.02657039453034828
9,0.9344375,0.062247709546215425,0.9327590462045856,0.06515876981848528,0.950250276982487,0.04080832332813527,0.9344375,0.06224770954621543,0.8664375000000001,0.09440916186340179,0.8508358278521261,0.10878848681132385,0.9145745011820643,0.04038747143147415,0.8664375,0.09440916186340179,16.03542196250001,0.2561730543622283,0.7397688249999703,0.019193893164705964,4.9657537124999465,0.10851127214326578,0.8282262250000372,0.06047698846778834,4.722675749999951,0.06274373673795791
10,0.9769375,0.019980361451935758,0.9765967028906932,0.02038256726694041,0.9802609189155209,0.0164606825020393,0.9769375,0.019980361451935724,0.9513750000000001,0.01735430422114352,0.9507176386221587,0.017814641289330475,0.9595473969745574,0.013454560711874983,0.9513750000000001,0.017354304221143528,17.966803462499996,0.2908705001887902,0.7524615499999641,0.013271076799936114,4.844816837499991,0.06934132961931427,0.9879081374999998,0.09632883724758844,4.809631212499966,0.10254269620806503
11,0.986875,0.010061529456300393,0.9868189836832317,0.010146080211776373,0.9880019755468505,0.008876648750584179,0.986875,0.010061529456300391,0.94825,0.023920441049445552,0.946976710760461,0.025327352950580233,0.957991605435278,0.015945978638065003,0.94825,0.02392044104944562,17.907028487500043,0.26981204187100505,0.7471672625000281,0.025852690365840127,4.8659559250000655,0.07607356157926845,0.9318976750001013,0.10268376700148524,4.688820849999956,0.03587528944040223
12,0.98575,0.02031778777327888,0.9854251565300526,0.021047250290223547,0.9872905973794814,0.01724995276215867,0.98575,0.020317787773278872,0.928375,0.03731349454285942,0.9255625644284744,0.03976598385356283,0.9458525971192051,0.02282912207759078,0.928375,0.037313494542859454,17.672009112499893,0.2393762032850805,0.7459718250000265,0.028387308449878825,4.858972187500058,0.10204871663611165,1.057947650000017,0.08371479794975113,4.6807165500000565,0.015361195156025952
13,0.9855,0.012784267675545613,0.9854420122499448,0.012856168285743057,0.9869015903379452,0.011241695337022727,0.9854999999999999,0.012784267675545675,0.951625,0.037967708319043954,0.9479993750691004,0.0452454834673776,0.9596417765927805,0.02723202143837906,0.9516249999999999,0.03796770831904391,19.53166801249995,0.24840403765164984,0.7429153500000325,0.03476063260486541,4.795502062499963,0.05531964985464839,1.0088150874999542,0.037425974043320584,4.634063900000001,0.045625145723257175
14,0.9904375,0.010284811313291072,0.9904076105727473,0.010336745491870046,0.9912729602279122,0.00902933934985408,0.9904375000000001,0.010284811313291065,0.929625,0.0669345529229859,0.9177391250026354,0.0823224549682845,0.9500864036552197,0.04235924672248841,0.9296249999999999,0.06693455292298589,19.175092849999828,0.16324720476793753,0.7289532000000349,0.015729162522981354,4.80325455000002,0.09797389217217928,0.9663894500000652,0.07745733154480726,4.634763700000008,0.02717929408658806
15,0.9908125000000001,0.016362948809734757,0.9907680831936305,0.01645999340063428,0.9914545208788494,0.014880343015741572,0.9908125,0.01636294880973478,0.9424999999999999,0.03967051802031328,0.9377812256102611,0.0492452144278995,0.9545360794463504,0.02418698749814191,0.9425,0.03967051802031324,19.39929046249989,0.29991520655041043,0.7186330249999742,0.012789059304718374,4.8058570750001195,0.03251757073888061,1.0062229625000327,0.029064764888502834,4.640135674999897,0.031051305457740166
16,0.998,0.00352668399491648,0.9979989372977687,0.0035293453971010093,0.9980781579476217,0.003342687296395045,0.998,0.003526683994916441,0.9623125,0.02823997333125511,0.961412642395717,0.029483121485658882,0.970429402327412,0.019126013263668102,0.9623124999999999,0.028239973331255098,18.78967067499991,0.15461238121679063,0.7259868125000253,0.021608076679087724,4.744792862499992,0.06761317493553315,0.8679017249999674,0.04679578285998096,4.854560762500057,0.05731815145948864
17,0.9788749999999999,0.030314755070757222,0.9784497546168887,0.03118155278076178,0.9830883746525424,0.022933561685265044,0.9788749999999999,0.030314755070757187,0.917375,0.044348583686517,0.9111636472334546,0.05072022096167014,0.9427857041211438,0.025180331485609973,0.9173749999999999,0.04434858368651699,21.05021252500012,0.135055868232706,0.7182110500000363,0.01319724755653442,4.821564499999852,0.0889176614932772,0.988559950000024,0.045395066206790444,4.670297887499885,0.05276547110973611
18,0.996125,0.00630352084156148,0.9961190687630891,0.0063179669611174915,0.9963615266595571,0.005763299441681298,0.996125,0.006303520841561507,0.9520625,0.04224440606459039,0.9487810689749367,0.04862323079616248,0.9643636041635322,0.02474589395515972,0.9520625,0.04224440606459035,21.08709030000017,0.2770647584178934,0.7334080625000752,0.017689817739337647,4.787479637500155,0.11200611701829641,1.027141300000153,0.03198696101649897,4.666242749999924,0.05141495154751719
19,0.99875,0.0016201851746019558,0.9987499260326045,0.0016203041340892084,0.9987668636698115,0.0015956972243150822,0.99875,0.0016201851746019708,0.972375,0.014417328982859476,0.9720617131909594,0.014701984014218827,0.9759503078211206,0.011078591379213071,0.972375,0.014417328982859499,21.083812362499884,0.20193811085678445,0.7296880999998621,0.02120914090243443,4.831013587500252,0.05465192694679588,0.991082775000109,0.03498788326738933,4.709491924999952,0.04600617209075839
20,0.984625,0.030905855027809855,0.9845345818567109,0.03113264071050117,0.9859479667889111,0.027930075143266977,0.9846250000000001,0.0309058550278099,0.96225,0.031193949733882707,0.961545490199508,0.03176798135925612,0.9665999709387784,0.02737695058379214,0.96225,0.031193949733882707,22.770512574999998,0.20221662697174764,0.7390324874997987,0.01952792372206146,4.825397474999818,0.06950157381816965,1.008940149999944,0.03434527943538906,4.71033502500029,0.10577997266293325
21,0.99975,0.0004999999999999796,0.9997499990234323,0.0005000022461066699,0.9997509336112456,0.000497977765031482,0.99975,0.0005000000000000143,0.94125,0.05046904992170943,0.935369431200592,0.058761623293678324,0.9577475395568984,0.031419511199106145,0.9412499999999999,0.05046904992170944,22.835262299999954,0.1709845334800572,0.7457295499997372,0.0393407741002278,4.781239987500044,0.05244975486152295,1.0057473499999787,0.03604319376119758,4.690297575000159,0.04623408441771615
22,0.9986250000000001,0.0012183492931011016,0.9986249411097576,0.001218429924493603,0.9986411742306529,0.0011984671521978669,0.998625,0.0012183492931011515,0.9744375000000001,0.030426589420275176,0.9734169652725094,0.03229829056675172,0.9794264359984749,0.022909274579329925,0.9744375000000001,0.03042658942027513,22.753250649999927,0.2714424751116811,0.7178823374998728,0.01303115742646447,4.807314337500088,0.06359004344353153,1.0181000750000067,0.07282061602041698,4.717921750000073,0.07383063526323935
23,0.990625,0.01401728843250362,0.9905729130638692,0.014125040108985215,0.9916597471374284,0.012169585376327917,0.990625,0.014017288432503598,0.9520624999999999,0.03556634425619255,0.9501544842423837,0.03824249081482781,0.9622431716899789,0.02340583012743003,0.9520624999999999,0.03556634425619254,24.47925862499983,0.14203829038920482,0.7266197249997504,0.015134944254343,4.872316950000027,0.14675106533280974,1.0224108500000284,0.048884876775843626,4.697657000000049,0.05838622741527085
24,0.9999375,0.0001653594569415187,0.9999374999023436,0.00016535971531609543,0.9999376558603491,0.00016494708921847308,0.9999375,0.0001653594569415187,0.9943125,0.006800448055091656,0.9943045018573063,0.00681592257852097,0.9946554893619368,0.00622789178330742,0.9943124999999999,0.006800448055091669,24.43701407499998,0.08610432542748218,0.7316824249996898,0.027935318752616543,4.818007950000265,0.0319655224656857,1.041938724999909,0.05180712337170458,4.698243375000175,0.07462678369528175
25,0.993375,0.010233981385560566,0.9933704499061906,0.010242293727484256,0.9938471436324829,0.009436714771262525,0.993375,0.010233981385560587,0.9389375,0.041964596313440225,0.9341805057186046,0.047786947291540226,0.954142646645332,0.026756668293106228,0.9389375000000001,0.04196459631344023,24.587131600000134,0.24359381363586974,0.7329658500000278,0.011365768192990826,4.815549287500062,0.06506491452406381,0.9912190624999084,0.031742169878122034,4.730701312499946,0.09445376341928678
26,0.9998125,0.0002420614591379369,0.9998124997070308,0.00024206183735958934,0.9998129675810474,0.00024145781460143412,0.9998125,0.0002420614591379369,0.9581875,0.04251906741392621,0.9556751154517378,0.04611836613765424,0.9696142796465185,0.027562107909064996,0.9581875,0.042519067413926206,26.476685150000094,0.5266202783971767,0.7358630749999975,0.01479277085173924,4.870875687499961,0.085577968622833,1.052226037500077,0.1057325204100581,4.775265625000088,0.1395966763955688
27,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9805,0.019803724397193582,0.9802567450824312,0.020201271848102526,0.9836013211638372,0.015309785147214285,0.9805,0.019803724397193564,26.275016237499926,0.10727375464304985,0.7378181624999343,0.03596047797684079,4.852247037500092,0.145125169113315,1.0189174375001357,0.037846342291989715,4.677498925000009,0.05625568134276869
