N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.6848124999999999,0.06063669345990102,0.6809834635658158,0.06668462629563236,0.7153275809394399,0.0664422569306616,0.6848125,0.06063669345990102,0.5993124999999999,0.05043618337810664,0.5893107192439253,0.05553519035573224,0.6475349036061467,0.0675759768973301,0.5993125,0.05043618337810668,31.896753025,1.013114719354368,1.598902124999995,0.06294412589940582,5.858749137500002,0.08145001610847906,1.2708867250000004,0.0790349119481779,5.362302075000008,0.15236448108921355
6,0.64325,0.08246097561877375,0.6345739909649608,0.08724107044773076,0.6776427187576102,0.07462701766163689,0.64325,0.0824609756187738,0.5764374999999999,0.06774927928583449,0.5606469683845758,0.07294361637076774,0.6124972114817792,0.07386967049902637,0.5764374999999999,0.06774927928583446,33.78271535000003,0.4864405952576212,1.7349190124999723,0.05721791792746166,6.076654337500031,0.08309087136102589,1.5068247625000026,0.08905555934279681,5.615633599999995,0.09562448091252133
7,0.6655,0.11994530003297336,0.6475870201138823,0.13948098751877305,0.7234985191179005,0.10742020065185016,0.6655,0.11994530003297336,0.5945625,0.07571882093475835,0.5661647887720691,0.08731843922097596,0.6562226408171148,0.054383838079709514,0.5945625,0.07571882093475833,42.914067262500055,0.680862879594831,1.7577044750000255,0.03755999372861626,6.047281612499972,0.10821738905441668,1.5311438125000052,0.07263225670605927,5.770253837500036,0.19623025841148833
8,0.701875,0.08303453724204163,0.6905316850361418,0.09183301215848036,0.7486749546297029,0.06437795415220476,0.701875,0.08303453724204168,0.610625,0.06481114391059613,0.6038412645117691,0.06193145279200344,0.6837041748390011,0.051780043218804236,0.610625,0.06481114391059614,43.904237862500025,0.7267572649263746,1.7739882374999354,0.05855281944874013,6.1227269249999665,0.09377923189609372,1.5654654750000532,0.07571048013680154,5.702771000000126,0.1031100363277808
9,0.706375,0.10394071326963271,0.6906209677234777,0.11721159689374608,0.7332218560680364,0.08751813801746064,0.706375,0.1039407132696327,0.6250625000000001,0.09724050001799661,0.589438119466341,0.11488576564241691,0.6612325830866415,0.07389268691806677,0.6250625,0.0972405000179966,46.302045350000014,1.037093955725536,1.7793495625000446,0.03071378512120265,6.1181471874999716,0.12793082908074407,1.5520677999999748,0.07665076590991339,5.785840737499939,0.1095837768077657
10,0.7941875,0.07397294163239693,0.7891227349157174,0.07798041259700285,0.8202987846376273,0.07478637220086827,0.7941874999999999,0.07397294163239691,0.70025,0.06376274382427406,0.6856757451975779,0.07315104965480625,0.7396827289262611,0.05650528941310287,0.70025,0.06376274382427409,45.22158968749994,1.1912863099229019,1.746030787499933,0.02421300517489585,6.022741650000057,0.12342099244732534,1.4989301125000907,0.09615213165916164,5.62326352499997,0.11213131208866327
11,0.79,0.09317557351580939,0.7785369934220299,0.10854178915648038,0.8205687179373862,0.0723278882154761,0.79,0.0931755735158094,0.69225,0.054879413262169635,0.6689132549555503,0.06705986687174846,0.7225249257378494,0.06865026490075668,0.69225,0.05487941326216959,46.083655100000044,0.8434098391800066,1.7868011499999739,0.025590016731731776,6.063969287500015,0.05119129566577108,1.5471105999999395,0.0755166420224863,5.678777937499888,0.10982286581761663
12,0.8240625,0.10707603533821188,0.8188856554475547,0.11759008068615932,0.8538244237418544,0.07719715555339525,0.8240624999999999,0.10707603533821193,0.7253125,0.07028288265111214,0.7114684129998872,0.08184347191460899,0.7687483028016855,0.05410595849484481,0.7253125,0.0702828826511122,47.61695198749999,0.9202426123801478,1.8501732124999535,0.038915215534135676,6.15786538750001,0.07907874445509394,1.5825767750000068,0.06731319968401746,5.759689562499943,0.07818798799659978
13,0.7360625000000001,0.06702258830983775,0.724280522738841,0.07711898845249748,0.7551414415463373,0.062290950114215114,0.7360625,0.06702258830983773,0.6415624999999999,0.03410868428641013,0.6256409089331948,0.041505773530929345,0.672890607671357,0.03219358678088309,0.6415625,0.03410868428641009,57.82397170000024,1.309976230521459,1.8816498000001047,0.046094869080293976,6.106543724999824,0.04364569595791383,1.609226250000006,0.05392729954111331,5.705464012499874,0.061689664393992226
14,0.7,0.0706359504784922,0.6920734960744912,0.07954122395008272,0.7582027261589247,0.055470914399473575,0.7,0.07063595047849215,0.6124375,0.0577442840785995,0.5939573312538554,0.07156158228072566,0.691885917542874,0.05061197991519471,0.6124375,0.057744284078599474,56.558222499999715,0.6233996928162396,1.8272856874997387,0.036814167936414365,6.109263374999955,0.07483193248240537,1.5511733375001313,0.05151273282151902,5.818145025000035,0.11658437058963894
