N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.5044375000000001,0.08956646885832889,0.49819732864604316,0.09261434652234944,0.5028418462128645,0.09701757484003115,0.5044375,0.08956646885832886,0.49662500000000004,0.08978994584584625,0.4852845256668227,0.08935843015101347,0.49048131261834405,0.09146781566938945,0.49662500000000004,0.08978994584584625,4.5470302875,1.1473237151449227,0.709315150000005,0.14718324182520923,5.5862475374999985,0.47681982891966634,0.8118290749999932,0.147729773841248,5.363827412499992,0.352409149195767
6,0.5278124999999999,0.08572227594826212,0.5221632214872405,0.08495803451912398,0.5336717095590648,0.0896967373534048,0.5278125,0.08572227594826214,0.5046875,0.08952720867842356,0.4985762177926957,0.08557235758609161,0.5095303591582532,0.08894171323038723,0.5046875,0.08952720867842359,4.432374437499998,0.5858085078846407,0.785075675000023,0.1180955203295561,5.216090974999993,0.2758870404836555,0.8201361250000048,0.1430356943202656,5.263907650000007,0.29803643111363187
7,0.40337500000000004,0.0833005664746645,0.4007784304451507,0.08454722998614024,0.41629152372316175,0.08293395327911154,0.403375,0.08330056647466448,0.38556250000000003,0.08914575056473527,0.3815852528062166,0.08875953898250769,0.3962525256299956,0.08704398965569163,0.38556250000000003,0.08914575056473527,3.456509550000014,0.14177605921316513,0.6732735000000005,0.22986420011426403,5.459789412500015,0.30633932018713217,0.7093428375000101,0.2040163380742148,5.4482659625000025,0.2986673570556173
8,0.364375,0.08350177767568784,0.35967573930682684,0.0810449115606256,0.3669887081546581,0.07836870510311945,0.364375,0.08350177767568785,0.360875,0.0852795953027452,0.3537708697522288,0.08016703112653657,0.36019125752962844,0.07786214023793857,0.36087499999999995,0.08527959530274516,3.3842138499999947,0.191624424121906,0.7100238125000118,0.18418441327215587,5.539123624999974,0.1995647767925095,0.7592866624999886,0.16599917384364066,5.709352637500004,0.21535445973824346
9,0.623,0.11422401236167465,0.6163811839139133,0.11327110522381546,0.6201760286107811,0.11352633153011789,0.623,0.11422401236167463,0.5905,0.1182159041753689,0.5834359831652081,0.11628261046226114,0.5852710588079304,0.11516874389690744,0.5905,0.11821590417536887,4.531181150000009,0.7982276400539935,0.6806866874999855,0.12400279610036925,4.916432599999965,0.23980550346582494,0.7279175124999853,0.1414125392527833,4.975288099999972,0.1540246730110273
10,0.6546875,0.1258796393137111,0.6562887647221458,0.12319372046036696,0.6651584084498234,0.11703355398499085,0.6546874999999999,0.12587963931371107,0.61175,0.11740128832342515,0.6115607806273284,0.1153062943857333,0.6222300258499122,0.10887037096965965,0.61175,0.11740128832342513,4.500880850000016,0.5787084476239902,0.790534712499948,0.22539977832563426,4.854146525000004,0.22743425002133694,0.8295737500000087,0.17818325770242507,4.832070349999952,0.208283686765531
11,0.6993125,0.08308427103700196,0.6984466218522372,0.08326827754930699,0.7015410024476165,0.08235683119057786,0.6993125,0.08308427103700193,0.6545,0.07509618831871562,0.6491432514174654,0.0753383299433662,0.6543094994065588,0.07240183012879411,0.6545000000000001,0.0750961883187156,4.625250537499966,0.35238752638374843,0.6292494375000217,0.15203959084759677,4.695184149999932,0.08707130887396214,0.7150589875000435,0.15214912211789397,4.814969974999997,0.15962015198414148
12,0.7288749999999999,0.08146500398944322,0.7261017678094024,0.08177432008571879,0.7287962602480813,0.08393609856034816,0.728875,0.0814650039894432,0.684625,0.07424189770607965,0.6801379344030092,0.07119727330803667,0.6850931424527347,0.07112570406587528,0.684625,0.07424189770607968,4.668812012499956,0.4991905327514351,0.6340778999999941,0.12456576223814415,4.812067637500036,0.20544210329782,0.7388594999999896,0.15611408981376176,4.8408996,0.1487973813574329
13,0.4815,0.065256704636382,0.4710051535509109,0.06886709760972821,0.471510086549841,0.07337709384889939,0.4815,0.065256704636382,0.459625,0.0622719589783395,0.4500717062930891,0.0683808151921844,0.4509435088166853,0.07306506495911118,0.459625,0.06227195897833954,3.303312237499995,0.2952879544438231,0.6761462249999113,0.1606904788061522,5.364303425000031,0.1382100643904799,0.7278858999999329,0.2024591774564915,5.317347875000024,0.17210555399660507
14,0.7414375,0.08868217038249572,0.7373996376826137,0.08984834097704782,0.7412631821402751,0.08862493666012194,0.7414375,0.08868217038249572,0.7085625,0.06652416736607832,0.6955666543431253,0.06486449045168183,0.7000192776494711,0.06761443255654354,0.7085625,0.06652416736607832,4.753759250000002,0.43871036614715586,0.6633797750000099,0.16609473143173833,4.722167775000003,0.25940751867453343,0.703395850000021,0.1689317172399565,4.757829249999986,0.1787052209296542
