N,Acc2_Mean,Acc2_Std,F12_Mean,F12_Std,Prec2_Mean,Prec2_Std,Rec2_Mean,Rec2_Std,Acc4_Mean,Acc4_Std,F14_Mean,F14_Std,Prec4_Mean,Prec4_Std,Rec4_Mean,Rec4_Std,TrainTime_Mean_s,TrainTime_Std_s,Test2_Infer_Mean_s,Test2_Infer_Std_s,Test2_Viz_Mean_s,Test2_Viz_Std_s,Test4_Infer_Mean_s,Test4_Infer_Std_s,Test4_Viz_Mean_s,Test4_Viz_Std_s
5,0.5235000000000001,0.034433813323534186,0.4504500664467982,0.058762206196598346,0.5296084974513043,0.0784357360587786,0.5235,0.03443381332353417,0.4948125,0.04066320319096862,0.4162489413668303,0.0685998153865123,0.5070003385700277,0.09876496244539734,0.4948125,0.040663203190968604,94.90728269999998,12.200521475723345,3.6789955124999985,0.32224702976835495,3.1236641749999894,0.11248843964575915,3.696851662500002,0.4710551757362014,3.0595275375000153,0.10868864509881809
6,0.562875,0.09590644855795676,0.47208998275419767,0.11451172543833397,0.6058174485732055,0.1224275731055399,0.562875,0.0959064485579567,0.5341875,0.10303092299766123,0.44533855448091675,0.11706310649575245,0.5964065380011383,0.11564256650430643,0.5341875,0.10303092299766124,115.68822560000001,2.4631214447861787,4.378422437500035,0.05572446041331712,3.4168070624999984,0.06433298050274815,4.250645074999937,0.0912740054256167,3.304522474999999,0.06943978391688602
7,0.6351875,0.05431731854344431,0.5717265640594829,0.07800619804245694,0.7727075717364907,0.06079136623544702,0.6351875,0.054317318543444286,0.5987500000000001,0.061659853227201245,0.537907620677351,0.07726868495205254,0.7105626536858171,0.127511338512942,0.5987499999999999,0.061659853227201224,140.9488457249999,3.767229624791008,4.632427649999954,0.14618890288378553,3.3749421125000367,0.04108807874962022,4.477799499999946,0.12124250372113901,3.3044108500001244,0.04309427733954947
8,0.659125,0.12058263504750592,0.5939311817134441,0.1581434578984403,0.7239328867930126,0.11182711820634066,0.659125,0.12058263504750591,0.6336875000000001,0.10689215871030952,0.5690402706758664,0.14722869622412688,0.6847980878915272,0.1489215512610125,0.6336875,0.1068921587103095,142.00656861250025,2.838308457111884,4.74165121249996,0.2145510386738393,3.4077497000001813,0.07276322507081187,4.362292087500123,0.15130182176811055,3.332758737499944,0.05851375733289804
9,0.7637499999999999,0.08645519070593738,0.7277873447901698,0.11197706476779797,0.7990846762845616,0.09397730013110774,0.76375,0.08645519070593738,0.732125,0.0815585487548669,0.691619407803282,0.1117913797949612,0.7849498228505063,0.09429018857545507,0.7321250000000001,0.08155854875486693,138.70822747500017,1.5635213298172979,4.46451442499972,0.15139443976109243,3.287995775000013,0.03677289925172518,4.4078843749999805,0.18227322532201387,3.1963281750001897,0.03576172428333289
10,0.8226875,0.07869042885732672,0.7976733157139712,0.10234204627239199,0.8905883347851264,0.03901217179823647,0.8226875,0.07869042885732674,0.7936874999999999,0.0763372195835688,0.7658791066724073,0.1033825552381766,0.8744805361553438,0.035261205586066914,0.7936875,0.07633721958356879,167.1448054000001,1.7314733705916974,4.688827774999822,0.13093534344749413,3.2875276500000155,0.07018365552625161,4.561361224999814,0.12908440521549566,3.1849468249998836,0.03842815557166665
11,0.86775,0.04959208606219342,0.8561724068724355,0.06045117135949391,0.9074727042608779,0.027994069312665456,0.86775,0.04959208606219342,0.8516250000000001,0.05520628927033586,0.8387021419633495,0.06631743525257751,0.8954400588989142,0.03207568072451381,0.8516250000000001,0.05520628927033582,166.7178234375001,3.4707809874930007,4.642492212499974,0.14526661845850924,3.3450490124996577,0.07868719951341281,4.583825149999939,0.14008330105338193,3.2274509374999525,0.029882616854918047
12,0.8609375,0.06469420255131059,0.8415870089078161,0.08669086000096929,0.9037707728740478,0.03529282525447028,0.8609375,0.06469420255131059,0.8141875000000001,0.08604102854888475,0.791673370317322,0.10819173535516226,0.8577979424771749,0.08575878911990134,0.8141875000000001,0.08604102854888475,169.51343102500027,2.4019709299845835,4.851900925000109,0.17042838656428996,3.3416914874999293,0.05746313171378345,4.470904237499781,0.08931349250404375,3.1923802374997194,0.045223634101027865
13,0.2,0.0,0.06666666666666668,0.0,0.04,0.0,0.2,0.0,0.2,0.0,0.06666666666666668,0.0,0.04,0.0,0.2,0.0,202.65995972500014,6.4618318024524655,4.944768700000168,0.16240363335002075,1.1323429000001397,0.017475519899147664,4.150547612500077,0.049012509129928626,1.0584310375002133,0.011803294373646026
14,0.88775,0.06770570507719421,0.8708845113072148,0.08203683386701417,0.9246040281429351,0.04164087682179185,0.88775,0.06770570507719417,0.85225,0.08532547978183304,0.8289639000437663,0.10441983640441398,0.905929935514059,0.045002849866597396,0.85225,0.08532547978183308,201.46795143750046,5.4964158619456205,4.872365250000712,0.30622371376774377,3.339565875000062,0.03726091407194738,4.544215512499932,0.2914216706059175,3.262172875000033,0.056623385666714106
15,0.835875,0.08627454360934055,0.8159842426613466,0.09626348534309946,0.8938203395604428,0.045684586727423045,0.8358749999999999,0.08627454360934052,0.8219375,0.08230713725886718,0.8003080089318206,0.09051847746954697,0.8799121077217602,0.05372609552162774,0.8219375,0.08230713725886714,204.51943076250063,4.983748342345963,4.874617650000346,0.09267752848865639,3.3355991500006894,0.05363342234752367,4.664637075000428,0.1589319126793795,3.2288524249993316,0.04946432026239389
16,0.8863125000000001,0.08044133634985184,0.8752525670888824,0.09248114627454154,0.9306356531071337,0.03589779991172913,0.8863125000000001,0.0804413363498519,0.8479375,0.07765807970681478,0.8337693626918621,0.09021061272885379,0.9033520097363441,0.03203096235843304,0.8479375,0.07765807970681479,208.43851023749994,3.8623073092821616,4.787526912500198,0.22203555687322887,3.306792737500018,0.05190179703172259,4.41302531249994,0.22206488404454267,3.209438012499959,0.038327675634520456
