Samples,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Prec_Mean,Prec_Std,Recall_Mean,Recall_Std
5,0.7531625,0.028171126064642834,0.7449749999999999,0.03182427336169674,0.75935,0.02864489483311119,0.7531625,0.028171126064642834
6,0.8080125,0.029808909637053144,0.8036625000000001,0.03017664401072458,0.8141624999999999,0.028769251706466083,0.8080125,0.029808909637053144
7,0.7899,0.01615928525647099,0.786025,0.016566287302832838,0.7977375,0.018831883701584392,0.7899,0.01615928525647099
8,0.8127125,0.026027842664154855,0.8089875,0.026886029713403193,0.8177,0.023402350309317244,0.8127125,0.026027842664154855
9,0.8377625,0.009127696519385373,0.83585,0.009351871470459797,0.8419375,0.010893339421407945,0.8377625,0.009127696519385373
10,0.8355250000000001,0.017645024086126934,0.8337749999999999,0.01793207670628251,0.84185,0.01581154641393435,0.8355250000000001,0.017645024086126934
11,0.861575,0.01777742599478337,0.8604125,0.01769339124503835,0.866525,0.016551793709444294,0.861575,0.01777742599478337
12,0.8565875000000001,0.013210170087852776,0.8555625,0.013759354772299452,0.8610875,0.013784541840409502,0.8565875000000001,0.013210170087852776
13,0.8644375,0.011007376787863664,0.86295,0.010932520294973155,0.8682624999999999,0.010081038822958657,0.8644375,0.011007376787863664
14,0.8776250000000001,0.01608444512564856,0.8768625,0.01586016531282067,0.8825125,0.014303883869425122,0.8776250000000001,0.01608444512564856
15,0.8818625,0.008460191708820782,0.880975,0.00884162739545158,0.8852125,0.009024056391113698,0.8818625,0.008460191708820782
16,0.8877875,0.017659943197813513,0.8873875,0.01780859606341836,0.8900625,0.016487035626515753,0.8877875,0.017659943197813513
17,0.8908499999999999,0.016628138801441355,0.8904125,0.01670654344111909,0.8923125,0.015630374075817882,0.8908499999999999,0.016628138801441355
18,0.8981250000000001,0.014343095028619161,0.897625,0.0145987799147737,0.901,0.013489996293550285,0.8981250000000001,0.014343095028619161
19,0.9004624999999999,0.00803444732075581,0.8996375000000001,0.008320447328719775,0.902,0.006635322147416781,0.9004624999999999,0.00803444732075581
20,0.8992,0.010856564834237385,0.899125,0.01077180927235533,0.90185,0.009576794870936727,0.8992,0.010856564834237385
21,0.9027125,0.010297989791702083,0.9023,0.010207472752841396,0.905225,0.008941022033302479,0.9027125,0.010297989791702083
22,0.9031125,0.013141769049484933,0.9027375,0.013168991751459183,0.9048125,0.01299484873901964,0.9031125,0.013141769049484933
23,0.907875,0.0081504217682277,0.9075,0.008332616635847358,0.909575,0.007377287780749773,0.907875,0.0081504217682277
24,0.9197374999999999,0.008321048236250038,0.9192875,0.008655986006804773,0.9209875,0.00813440801472363,0.9197374999999999,0.008321048236250038
25,0.9295249999999999,0.005627999200426375,0.929525,0.005561867941618157,0.9303625,0.005763448945726839,0.9295249999999999,0.005627999200426375
26,0.9236500000000001,0.014283994539343675,0.92355,0.014357924641117206,0.92475,0.014280756282494287,0.9236500000000001,0.014283994539343675
27,0.9207875,0.012849458889385195,0.9206375000000001,0.012842696124646105,0.922575,0.013080113722747198,0.9207875,0.012849458889385195
28,0.9308000000000001,0.00881036321612227,0.9306749999999999,0.008842899694104846,0.9319,0.008502058574251306,0.9308000000000001,0.00881036321612227
29,0.9291125,0.006192018552136295,0.9288375,0.006161358920725203,0.93015,0.005727346680619228,0.9291125,0.006192018552136295
30,0.9344125,0.009915573294066274,0.9343375,0.00989734023614427,0.9352374999999999,0.0095584958937063,0.9344125,0.009915573294066274
