protocol,load,condition,model_seed,noise_repeat,weight_vibration,weight_current,accuracy,macro_precision,macro_recall,macro_f1,weight_branch1_within_sd,weight_branch2_within_sd
stage3,2Nm,baseline_0dB,20260806,1,0.4173835515975952,0.5826164484024048,1.0,1.0,1.0,1.0,0.02891557291150093,0.02891557291150093
stage3,2Nm,baseline_0dB,20260806,2,0.4173243045806885,0.5826756954193115,1.0,1.0,1.0,1.0,0.029121218249201775,0.029121218249201775
stage3,2Nm,baseline_0dB,20260806,3,0.41725313663482666,0.5827468037605286,1.0,1.0,1.0,1.0,0.029074102640151978,0.029074104502797127
stage3,2Nm,baseline_0dB,20260806,4,0.41729381680488586,0.5827061533927917,1.0,1.0,1.0,1.0,0.028827082365751266,0.028827082365751266
stage3,2Nm,baseline_0dB,20260806,5,0.4171608090400696,0.5828392505645752,1.0,1.0,1.0,1.0,0.0289929062128067,0.0289929062128067
stage3,2Nm,vibration_missing,20260806,1,0.4458307921886444,0.5541691780090332,0.2,0.04,0.2,0.06666666666666668,0.0009900652803480625,0.0009900667937472463
stage3,2Nm,current_missing,20260806,1,0.48027098178863525,0.5197290182113647,1.0,1.0,1.0,1.0,0.029409801587462425,0.029409799724817276
stage3,2Nm,vibration_severe,20260806,1,0.37876972556114197,0.6212303638458252,0.698,0.8022657270556699,0.698,0.6554057772864177,0.01682858355343342,0.016828585416078568
stage3,2Nm,vibration_severe,20260806,2,0.37859418988227844,0.621405839920044,0.69,0.7928522437609031,0.6900000000000001,0.6489220698915624,0.01656971126794815,0.01656971126794815
stage3,2Nm,vibration_severe,20260806,3,0.3784239590167999,0.6215760707855225,0.6975,0.7965122549837831,0.6975,0.6511505570209152,0.016616102308034897,0.016616102308034897
stage3,2Nm,vibration_severe,20260806,4,0.37827742099761963,0.6217225193977356,0.6905,0.7960163924824596,0.6904999999999999,0.6470359016185713,0.01621229574084282,0.01621229387819767
stage3,2Nm,vibration_severe,20260806,5,0.37846165895462036,0.6215383410453796,0.6895,0.7958465156095411,0.6895,0.6483656731216212,0.016741512343287468,0.016741512343287468
stage3,2Nm,current_severe,20260806,1,0.3656938970088959,0.634306013584137,1.0,1.0,1.0,1.0,0.02364412695169449,0.02364412695169449
stage3,2Nm,current_severe,20260806,2,0.3656710386276245,0.6343289613723755,1.0,1.0,1.0,1.0,0.023645637556910515,0.023645635694265366
stage3,2Nm,current_severe,20260806,3,0.3656691908836365,0.6343308091163635,1.0,1.0,1.0,1.0,0.02363930642604828,0.023639308288693428
stage3,2Nm,current_severe,20260806,4,0.36568909883499146,0.6343109011650085,1.0,1.0,1.0,1.0,0.02357417345046997,0.02357417345046997
stage3,2Nm,current_severe,20260806,5,0.3656226098537445,0.6343773007392883,1.0,1.0,1.0,1.0,0.023618502542376518,0.023618504405021667
stage3,2Nm,both_severe,20260806,1,0.3333132863044739,0.6666867136955261,0.882,0.8914871615897064,0.882,0.8815651883525341,0.01403488777577877,0.01403488777577877
stage3,2Nm,both_severe,20260806,2,0.3331677317619324,0.6668322682380676,0.8695,0.880949070426805,0.8695,0.869267370657591,0.013631700538098812,0.013631700538098812
stage3,2Nm,both_severe,20260806,3,0.33311259746551514,0.6668874025344849,0.879,0.8878888746869148,0.8789999999999999,0.8782071675542558,0.01375643815845251,0.01375643815845251
stage3,2Nm,both_severe,20260806,4,0.33297210931777954,0.6670278906822205,0.879,0.8890577047597118,0.8790000000000001,0.877975455722377,0.01361196581274271,0.01361196581274271
stage3,2Nm,both_severe,20260806,5,0.3330847918987274,0.6669151782989502,0.8835,0.892632957663742,0.8835000000000001,0.8830025151819749,0.013831372372806072,0.013831373304128647
stage3,4Nm,baseline_0dB,20260806,1,0.41598013043403625,0.5840198993682861,1.0,1.0,1.0,1.0,0.030155159533023834,0.030155159533023834
stage3,4Nm,baseline_0dB,20260806,2,0.4161739945411682,0.5838260054588318,1.0,1.0,1.0,1.0,0.030212756246328354,0.030212758108973503
stage3,4Nm,baseline_0dB,20260806,3,0.41600799560546875,0.5839920043945312,1.0,1.0,1.0,1.0,0.03012917749583721,0.03012917935848236
stage3,4Nm,baseline_0dB,20260806,4,0.4159562885761261,0.5840436816215515,1.0,1.0,1.0,1.0,0.030273623764514923,0.030273621901869774
stage3,4Nm,baseline_0dB,20260806,5,0.41606512665748596,0.5839348435401917,1.0,1.0,1.0,1.0,0.030171794816851616,0.030171794816851616
stage3,4Nm,vibration_missing,20260806,1,0.44546905159950256,0.5545308589935303,0.2,0.04,0.2,0.06666666666666668,0.0009766081348061562,0.000976608251221478
stage3,4Nm,current_missing,20260806,1,0.47925472259521484,0.5207452774047852,1.0,1.0,1.0,1.0,0.029058076441287994,0.029058076441287994
stage3,4Nm,vibration_severe,20260806,1,0.3777778744697571,0.6222221851348877,0.63,0.7628348800756264,0.6300000000000001,0.5859787890709004,0.016629047691822052,0.016629045829176903
stage3,4Nm,vibration_severe,20260806,2,0.3783263564109802,0.6216737031936646,0.649,0.7714072121250654,0.6489999999999999,0.6063113769459629,0.017057955265045166,0.017057953402400017
stage3,4Nm,vibration_severe,20260806,3,0.37765607237815857,0.6223439574241638,0.658,0.7786924446662442,0.658,0.6110155554366578,0.016837775707244873,0.016837775707244873
stage3,4Nm,vibration_severe,20260806,4,0.37782129645347595,0.6221787333488464,0.646,0.77361025276634,0.6460000000000001,0.6011916548656608,0.016964733600616455,0.016964731737971306
stage3,4Nm,vibration_severe,20260806,5,0.3777225911617279,0.6222774386405945,0.6505,0.7749363962247564,0.6505000000000001,0.605206067411584,0.016698209568858147,0.016698209568858147
stage3,4Nm,current_severe,20260806,1,0.36449816823005676,0.6355018019676208,1.0,1.0,1.0,1.0,0.02373276650905609,0.023732764646410942
stage3,4Nm,current_severe,20260806,2,0.3646441698074341,0.6353558301925659,1.0,1.0,1.0,1.0,0.023780595511198044,0.023780595511198044
stage3,4Nm,current_severe,20260806,3,0.36449337005615234,0.6355065703392029,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.02375318855047226,0.02375319041311741
stage3,4Nm,current_severe,20260806,4,0.3644901514053345,0.6355099081993103,1.0,1.0,1.0,1.0,0.02384698949754238,0.02384698949754238
stage3,4Nm,current_severe,20260806,5,0.36453333497047424,0.6354666948318481,0.999,0.999002493765586,0.999,0.9989999984374975,0.02374141849577427,0.023741422221064568
stage3,4Nm,both_severe,20260806,1,0.3326619267463684,0.6673380732536316,0.8275,0.8416516378595034,0.8274999999999999,0.8273637919132686,0.013940864242613316,0.01394086517393589
stage3,4Nm,both_severe,20260806,2,0.33296576142311096,0.6670342683792114,0.8345,0.8499999776701479,0.8345,0.8347825854918026,0.013927203603088856,0.013927203603088856
stage3,4Nm,both_severe,20260806,3,0.3324030637741089,0.6675969362258911,0.824,0.8425360105367625,0.8240000000000001,0.8215959175142249,0.013670415617525578,0.013670414686203003
stage3,4Nm,both_severe,20260806,4,0.33259591460227966,0.667404055595398,0.8205,0.8429000087245345,0.8205,0.8188562759943885,0.013746542856097221,0.013746541924774647
stage3,4Nm,both_severe,20260806,5,0.3324993848800659,0.6675006747245789,0.831,0.846450596587494,0.8309999999999998,0.8305417424818964,0.013718999922275543,0.013718999922275543
stage3,2Nm,baseline_0dB,20260807,1,0.5467098355293274,0.45329010486602783,1.0,1.0,1.0,1.0,0.13000674545764923,0.13000674545764923
stage3,2Nm,baseline_0dB,20260807,2,0.5463747382164001,0.45362523198127747,1.0,1.0,1.0,1.0,0.12982739508152008,0.12982739508152008
stage3,2Nm,baseline_0dB,20260807,3,0.546326756477356,0.45367324352264404,1.0,1.0,1.0,1.0,0.129810631275177,0.129810631275177
stage3,2Nm,baseline_0dB,20260807,4,0.5463302135467529,0.4536697566509247,1.0,1.0,1.0,1.0,0.12972086668014526,0.12972086668014526
stage3,2Nm,baseline_0dB,20260807,5,0.5465882420539856,0.45341166853904724,1.0,1.0,1.0,1.0,0.1299438625574112,0.1299438625574112
stage3,2Nm,vibration_missing,20260807,1,0.6363918781280518,0.36360815167427063,0.2,0.04,0.2,0.06666666666666668,8.519597031408921e-05,8.519643597537652e-05
stage3,2Nm,current_missing,20260807,1,0.5884037017822266,0.4115963578224182,1.0,1.0,1.0,1.0,0.13585378229618073,0.13585378229618073
stage3,2Nm,vibration_severe,20260807,1,0.5445322394371033,0.45546776056289673,0.5435,0.614529534053419,0.5435000000000001,0.4922357511948315,0.06965205818414688,0.06965205818414688
stage3,2Nm,vibration_severe,20260807,2,0.5422553420066833,0.45774462819099426,0.546,0.6294709851777893,0.546,0.49721509056268187,0.06825216859579086,0.06825216859579086
stage3,2Nm,vibration_severe,20260807,3,0.5435107946395874,0.4564892053604126,0.5395,0.6138929442871075,0.5395000000000001,0.48671148506970996,0.0690884217619896,0.0690884217619896
stage3,2Nm,vibration_severe,20260807,4,0.5439974069595337,0.45600253343582153,0.523,0.6014608311834879,0.5229999999999999,0.463546236692783,0.07008834183216095,0.07008834183216095
stage3,2Nm,vibration_severe,20260807,5,0.5433090925216675,0.4566909074783325,0.527,0.6114254546949391,0.527,0.4696993563256866,0.0678652673959732,0.06786525994539261
stage3,2Nm,current_severe,20260807,1,0.5111677050590515,0.4888322651386261,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,0.12622562050819397,0.12622562050819397
stage3,2Nm,current_severe,20260807,2,0.510589063167572,0.48941096663475037,0.9915,0.9918465227817747,0.9914999999999999,0.991496159984743,0.1258738785982132,0.1258738785982132
stage3,2Nm,current_severe,20260807,3,0.5105379819869995,0.4894620478153229,0.9905,0.9909307875894988,0.9905000000000002,0.9904946383819624,0.1259080171585083,0.1259080171585083
stage3,2Nm,current_severe,20260807,4,0.5104503035545349,0.48954975605010986,0.99,0.9904761904761905,0.99,0.9899937460913071,0.12581080198287964,0.12581080198287964
stage3,2Nm,current_severe,20260807,5,0.5108510851860046,0.48914891481399536,0.991,0.9913875598086124,0.991,0.9909954414422302,0.12608544528484344,0.12608544528484344
stage3,2Nm,both_severe,20260807,1,0.5027774572372437,0.49722254276275635,0.547,0.6241908566246925,0.5469999999999999,0.4803339155273516,0.07564268261194229,0.07564268261194229
