load,condition,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weight_vibration_mean,weight_current_mean,accuracy_delta_mean,accuracy_delta_sd,macro_f1_delta_mean,macro_f1_delta_sd,model_seeds
2Nm,baseline_0dB,0.9999666666666668,4.714045207909797e-05,0.9999666666145832,4.714052573616512e-05,0.5481289486090343,0.45187104145685836,0.0,0.0,0.0,0.0,3
2Nm,both_severe,0.7371333333333333,0.13792583353221233,0.7161285163076841,0.16668228029459936,0.47928732037544247,0.520712693532308,-0.26283333333333336,0.13793685350752186,-0.28383815030689913,0.16669577717823145,3
2Nm,current_missing,1.0,0.0,1.0,0.0,0.5895692904790243,0.4104306995868683,3.333333333332966e-05,4.714045207909798e-05,3.333338541674132e-05,4.714052573616512e-05,3
2Nm,current_severe,0.9969,0.0037656340767525266,0.9968986116560209,0.0037675841857711997,0.5139804402987163,0.4860195457935334,-0.003066666666666662,0.0037853518844208817,-0.003068054958562364,0.0037873040388177164,3
2Nm,vibration_missing,0.20000000000000004,2.7755575615628914e-17,0.06666666666666668,0.0,0.5763578315575918,0.42364218831062317,-0.7999666666666667,4.714045207909798e-05,-0.9332999999479167,4.714052573616512e-05,3
2Nm,vibration_severe,0.6411333333333333,0.07448410717879497,0.6001028574725765,0.08392011482980052,0.5131167987982432,0.48688321113586425,-0.35883333333333334,0.07450800106178004,-0.39986380914200675,0.0839471923972886,3
4Nm,baseline_0dB,0.9786333333333334,0.029512746775287174,0.9780944013928149,0.030274834846690683,0.5495167672634125,0.4504832287629445,0.0,0.0,0.0,0.0,3
4Nm,both_severe,0.7047333333333334,0.12689093304444132,0.6809977690019938,0.1599391397081078,0.4810275435447693,0.5189724723498027,-0.2739,0.09826752600257453,-0.29709663239082107,0.13015492220569616,3
4Nm,current_missing,0.8718333333333333,0.0906939297245901,0.8332304042839218,0.11814511356839304,0.5904728770256042,0.40952710310618085,-0.10679999999999996,0.08083221305065615,-0.14486399710889306,0.10769210025222725,3
4Nm,current_severe,0.9074,0.07569134692948726,0.888712802342191,0.09706087809236319,0.5157473007837932,0.4842527012030284,-0.07123333333333326,0.05181031643301251,-0.08938159905062389,0.07024908742126,3
4Nm,vibration_missing,0.20000000000000004,2.7755575615628914e-17,0.06666666666666668,0.0,0.5761631230513254,0.4238368670145671,-0.7786333333333332,0.029512746775287202,-0.9114277347261481,0.030274834846690687,3
4Nm,vibration_severe,0.6117666666666667,0.06899499176671371,0.567328487672529,0.08026645058123212,0.5145918230215708,0.4854081869125366,-0.3668666666666667,0.040229867290636476,-0.41076591372028587,0.05122596026810137,3
