load,scenario,snr_db,delta_degraded_modality_weight,delta_accuracy
4Nm,vibration_only_degraded,0.0,0.0,0.0
4Nm,vibration_only_degraded,-2.0,-0.003272289037704379,0.008133333333333326
4Nm,vibration_only_degraded,-4.0,-0.007249240080515529,0.00539999999999996
4Nm,vibration_only_degraded,-6.0,-0.012031640609105332,-0.020500000000000074
4Nm,vibration_only_degraded,-8.0,-0.017750052611033018,-0.0827
4Nm,vibration_only_degraded,-10.0,-0.02480703592300415,-0.20663333333333334
4Nm,current_only_degraded,0.0,0.0,0.0
4Nm,current_only_degraded,-2.0,0.009148712952931737,-0.00326666666666664
4Nm,current_only_degraded,-4.0,0.018128041426340724,-0.009600000000000053
4Nm,current_only_degraded,-6.0,0.025442504882812467,-0.022566666666666624
4Nm,current_only_degraded,-8.0,0.030217323700586995,-0.04046666666666665
4Nm,current_only_degraded,-10.0,0.03274253606796257,-0.057733333333333414
