protocol,load,scenario,snr_db,model_seed,noise_repeat,weight_vibration,weight_current,accuracy,macro_precision,macro_recall,macro_f1,weight_branch1_within_sd,weight_branch2_within_sd
stage3,2Nm,both_modalities_degraded,0.0,20260806,1,0.4173835515975952,0.5826164484024048,1.0,1.0,1.0,1.0,0.02891557291150093,0.02891557291150093
stage3,2Nm,both_modalities_degraded,0.0,20260806,2,0.41733989119529724,0.5826600790023804,1.0,1.0,1.0,1.0,0.028982168063521385,0.028982168063521385
stage3,2Nm,both_modalities_degraded,0.0,20260806,3,0.4173243045806885,0.5826756954193115,1.0,1.0,1.0,1.0,0.029121218249201775,0.029121218249201775
stage3,2Nm,both_modalities_degraded,0.0,20260806,4,0.4173129200935364,0.5826870203018188,1.0,1.0,1.0,1.0,0.02903616428375244,0.02903616428375244
stage3,2Nm,both_modalities_degraded,0.0,20260806,5,0.41725313663482666,0.5827468037605286,1.0,1.0,1.0,1.0,0.029074102640151978,0.029074104502797127
stage3,2Nm,both_modalities_degraded,-2.0,20260806,1,0.3993456959724426,0.6006543040275574,1.0,1.0,1.0,1.0,0.02640777826309204,0.026407776400446892
stage3,2Nm,both_modalities_degraded,-2.0,20260806,2,0.39933905005455017,0.6006608605384827,1.0,1.0,1.0,1.0,0.02661585621535778,0.02661585621535778
stage3,2Nm,both_modalities_degraded,-2.0,20260806,3,0.39941906929016113,0.6005809307098389,1.0,1.0,1.0,1.0,0.026560351252555847,0.026560351252555847
stage3,2Nm,both_modalities_degraded,-2.0,20260806,4,0.39939063787460327,0.6006093621253967,1.0,1.0,1.0,1.0,0.026435263454914093,0.026435263454914093
stage3,2Nm,both_modalities_degraded,-2.0,20260806,5,0.39936044812202454,0.6006395816802979,1.0,1.0,1.0,1.0,0.026506543159484863,0.026506543159484863
stage3,2Nm,both_modalities_degraded,-4.0,20260806,1,0.381226509809494,0.6187735795974731,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.024042261764407158,0.024042263627052307
stage3,2Nm,both_modalities_degraded,-4.0,20260806,2,0.3813113868236542,0.6186885833740234,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.024144340306520462,0.024144340306520462
stage3,2Nm,both_modalities_degraded,-4.0,20260806,3,0.38122379779815674,0.618776261806488,0.9985,0.9985111662531019,0.9984999999999999,0.9984999789059532,0.02408909611403942,0.02408909611403942
stage3,2Nm,both_modalities_degraded,-4.0,20260806,4,0.38143450021743774,0.6185654401779175,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.024014582857489586,0.024014582857489586
stage3,2Nm,both_modalities_degraded,-4.0,20260806,5,0.38121190667152405,0.6187880635261536,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.024047939106822014,0.024047939106822014
stage3,2Nm,both_modalities_degraded,-6.0,20260806,1,0.3652707040309906,0.6347293853759766,0.9935,0.9937046004842613,0.9935,0.9934982831403918,0.02200346440076828,0.02200346440076828
stage3,2Nm,both_modalities_degraded,-6.0,20260806,2,0.36538541316986084,0.6346145868301392,0.9925,0.9927710843373493,0.9925,0.9924973623539526,0.022065775468945503,0.022065773606300354
stage3,2Nm,both_modalities_degraded,-6.0,20260806,3,0.3653714060783386,0.6346286535263062,0.9925,0.9927710843373493,0.9925,0.9924973623539526,0.02190561220049858,0.02190561033785343
stage3,2Nm,both_modalities_degraded,-6.0,20260806,4,0.3653539717197418,0.6346459984779358,0.9905,0.9909307875894988,0.9904999999999999,0.9905063019064217,0.021947622299194336,0.021947622299194336
stage3,2Nm,both_modalities_degraded,-6.0,20260806,5,0.3652874529361725,0.6347125172615051,0.993,0.9932367149758454,0.993,0.9929978555932755,0.021987054497003555,0.021987054497003555
stage3,2Nm,both_modalities_degraded,-8.0,20260806,1,0.35241755843162537,0.6475824117660522,0.981,0.9823242694192491,0.9810000000000001,0.9809440159703039,0.019642101600766182,0.019642099738121033
stage3,2Nm,both_modalities_degraded,-8.0,20260806,2,0.3523123264312744,0.6476876139640808,0.9815,0.9828601007715321,0.9814999999999999,0.9814435638526868,0.019833587110042572,0.019833587110042572
stage3,2Nm,both_modalities_degraded,-8.0,20260806,3,0.3524949848651886,0.647504985332489,0.9825,0.983831797235023,0.9824999999999999,0.9824692381864744,0.0196007639169693,0.01960076577961445
stage3,2Nm,both_modalities_degraded,-8.0,20260806,4,0.35227298736572266,0.6477270722389221,0.983,0.9841260154410367,0.983,0.9829366442403664,0.019687755033373833,0.019687755033373833
stage3,2Nm,both_modalities_degraded,-8.0,20260806,5,0.35260480642318726,0.6473952531814575,0.9805,0.9822323462414578,0.9804999999999999,0.9804791519448519,0.0199713334441185,0.0199713334441185
stage3,2Nm,both_modalities_degraded,-10.0,20260806,1,0.3417195677757263,0.6582804322242737,0.9575,0.9600287511462497,0.9574999999999999,0.9571714052051477,0.016896476969122887,0.016896478831768036
stage3,2Nm,both_modalities_degraded,-10.0,20260806,2,0.3417263627052307,0.6582736372947693,0.9575,0.9622311827956989,0.9574999999999999,0.9572384897446037,0.017041096463799477,0.017041096463799477
stage3,2Nm,both_modalities_degraded,-10.0,20260806,3,0.3415274918079376,0.6584725379943848,0.9585,0.9613215672289979,0.9585000000000001,0.9582550200124288,0.016718760132789612,0.016718760132789612
stage3,2Nm,both_modalities_degraded,-10.0,20260806,4,0.34169304370880127,0.658306896686554,0.957,0.9604034474822345,0.9570000000000001,0.9567918551130232,0.01716610975563526,0.017166107892990112
stage3,2Nm,both_modalities_degraded,-10.0,20260806,5,0.34143754839897156,0.6585624814033508,0.9635,0.9652866998526133,0.9635,0.9634195216519739,0.016849955543875694,0.016849955543875694
stage3,2Nm,vibration_only_degraded,0.0,20260806,1,0.4173835515975952,0.5826164484024048,1.0,1.0,1.0,1.0,0.02891557291150093,0.02891557291150093
stage3,2Nm,vibration_only_degraded,0.0,20260806,2,0.41733989119529724,0.5826600790023804,1.0,1.0,1.0,1.0,0.028982168063521385,0.028982168063521385
stage3,2Nm,vibration_only_degraded,0.0,20260806,3,0.4173243045806885,0.5826756954193115,1.0,1.0,1.0,1.0,0.029121218249201775,0.029121218249201775
stage3,2Nm,vibration_only_degraded,0.0,20260806,4,0.4173129200935364,0.5826870203018188,1.0,1.0,1.0,1.0,0.02903616428375244,0.02903616428375244
stage3,2Nm,vibration_only_degraded,0.0,20260806,5,0.41725313663482666,0.5827468037605286,1.0,1.0,1.0,1.0,0.029074102640151978,0.029074104502797127
stage3,2Nm,vibration_only_degraded,-2.0,20260806,1,0.41442543268203735,0.5855745673179626,1.0,1.0,1.0,1.0,0.028025155887007713,0.028025155887007713
stage3,2Nm,vibration_only_degraded,-2.0,20260806,2,0.4144248366355896,0.5855751633644104,1.0,1.0,1.0,1.0,0.028242630884051323,0.028242630884051323
stage3,2Nm,vibration_only_degraded,-2.0,20260806,3,0.4144963324069977,0.5855036377906799,1.0,1.0,1.0,1.0,0.028189780190587044,0.028189780190587044
stage3,2Nm,vibration_only_degraded,-2.0,20260806,4,0.41445425152778625,0.5855457782745361,1.0,1.0,1.0,1.0,0.02804679609835148,0.02804679609835148
stage3,2Nm,vibration_only_degraded,-2.0,20260806,5,0.4144304096698761,0.5855695605278015,1.0,1.0,1.0,1.0,0.02813115157186985,0.02813115157186985
stage3,2Nm,vibration_only_degraded,-4.0,20260806,1,0.4102664291858673,0.5897336602210999,0.9965,0.9965601965601966,0.9964999999999999,0.996499732010732,0.0268997885286808,0.0268997885286808
stage3,2Nm,vibration_only_degraded,-4.0,20260806,2,0.41036826372146606,0.5896317362785339,0.9975,0.9975308641975309,0.9974999999999999,0.9974999023399352,0.027101727202534676,0.027101727202534676
stage3,2Nm,vibration_only_degraded,-4.0,20260806,3,0.4102732837200165,0.5897266864776611,0.9975,0.9975308641975309,0.9974999999999999,0.9974999023399352,0.026975322514772415,0.026975322514772415
stage3,2Nm,vibration_only_degraded,-4.0,20260806,4,0.41048094630241394,0.5895190238952637,0.996,0.996078431372549,0.9960000000000001,0.995999599959996,0.026858020573854446,0.026858022436499596
stage3,2Nm,vibration_only_degraded,-4.0,20260806,5,0.41026490926742554,0.5897350907325745,0.9965,0.9965601965601966,0.9964999999999999,0.996499732010732,0.026925886049866676,0.026925886049866676
stage3,2Nm,vibration_only_degraded,-6.0,20260806,1,0.404535710811615,0.595464289188385,0.965,0.9702127659574469,0.9650000000000001,0.9647299637852307,0.025520967319607735,0.025520967319607735
stage3,2Nm,vibration_only_degraded,-6.0,20260806,2,0.404739111661911,0.5952608585357666,0.969,0.9731601731601731,0.969,0.968812681166255,0.025738047435879707,0.025738049298524857
stage3,2Nm,vibration_only_degraded,-6.0,20260806,3,0.40468674898147583,0.5953132510185242,0.9675,0.9720430107526882,0.9675,0.967284023435964,0.025539131835103035,0.025539133697748184
stage3,2Nm,vibration_only_degraded,-6.0,20260806,4,0.40470293164253235,0.5952969789505005,0.9635,0.9691331923890063,0.9635,0.9632455268933857,0.025645606219768524,0.025645606219768524
stage3,2Nm,vibration_only_degraded,-6.0,20260806,5,0.4045625627040863,0.5954375267028809,0.961,0.9673640167364017,0.961,0.9606256980420118,0.025650503113865852,0.025650504976511
stage3,2Nm,vibration_only_degraded,-8.0,20260806,1,0.3973635137081146,0.602636456489563,0.9,0.9323760526276228,0.9,0.8949219190926488,0.023458920419216156,0.023458922281861305
stage3,2Nm,vibration_only_degraded,-8.0,20260806,2,0.3972528576850891,0.6027471423149109,0.9095,0.9371641751091108,0.9094999999999999,0.9054213793649876,0.02369331382215023,0.02369331382215023
stage3,2Nm,vibration_only_degraded,-8.0,20260806,3,0.3973495662212372,0.6026504635810852,0.8965,0.9317957166392091,0.8965,0.8908314540987906,0.023395977914333344,0.023395979776978493
stage3,2Nm,vibration_only_degraded,-8.0,20260806,4,0.3971858620643616,0.6028141379356384,0.9065,0.9357420357420357,0.9065,0.9019450763242748,0.023426000028848648,0.023426000028848648
stage3,2Nm,vibration_only_degraded,-8.0,20260806,5,0.3975636065006256,0.6024364233016968,0.904,0.9351351351351351,0.9039999999999999,0.8990210416958331,0.02387159690260887,0.02387159690260887
stage3,2Nm,vibration_only_degraded,-10.0,20260806,1,0.38838887214660645,0.6116110682487488,0.817,0.8851461150648634,0.817,0.7939408834429912,0.02052365615963936,0.02052365615963936
stage3,2Nm,vibration_only_degraded,-10.0,20260806,2,0.38844969868659973,0.6115502715110779,0.822,0.889963752543731,0.8220000000000001,0.7973087941011561,0.02069791778922081,0.02069791778922081
stage3,2Nm,vibration_only_degraded,-10.0,20260806,3,0.3881443440914154,0.611855685710907,0.811,0.8832716631599313,0.8109999999999999,0.7814981250987109,0.020156415179371834,0.020156415179371834
stage3,2Nm,vibration_only_degraded,-10.0,20260806,4,0.3884637951850891,0.6115362644195557,0.8205,0.8906657301101925,0.8205,0.7992162935415037,0.02082979306578636,0.02082979306578636
stage3,2Nm,vibration_only_degraded,-10.0,20260806,5,0.38807836174964905,0.6119216084480286,0.8065,0.8830254011407422,0.8065,0.7799728979376692,0.02021007053554058,0.02021007053554058
stage3,2Nm,current_only_degraded,0.0,20260806,1,0.4173835515975952,0.5826164484024048,1.0,1.0,1.0,1.0,0.02891557291150093,0.02891557291150093
stage3,2Nm,current_only_degraded,0.0,20260806,2,0.41733989119529724,0.5826600790023804,1.0,1.0,1.0,1.0,0.028982168063521385,0.028982168063521385
stage3,2Nm,current_only_degraded,0.0,20260806,3,0.4173243045806885,0.5826756954193115,1.0,1.0,1.0,1.0,0.029121218249201775,0.029121218249201775
stage3,2Nm,current_only_degraded,0.0,20260806,4,0.4173129200935364,0.5826870203018188,1.0,1.0,1.0,1.0,0.02903616428375244,0.02903616428375244
stage3,2Nm,current_only_degraded,0.0,20260806,5,0.41725313663482666,0.5827468037605286,1.0,1.0,1.0,1.0,0.029074102640151978,0.029074104502797127
stage3,2Nm,current_only_degraded,-2.0,20260806,1,0.40205180644989014,0.5979481935501099,1.0,1.0,1.0,1.0,0.02724584937095642,0.02724584937095642
stage3,2Nm,current_only_degraded,-2.0,20260806,2,0.4020100235939026,0.5979899764060974,1.0,1.0,1.0,1.0,0.027432583272457123,0.027432583272457123
stage3,2Nm,current_only_degraded,-2.0,20260806,3,0.40210676193237305,0.597893238067627,1.0,1.0,1.0,1.0,0.02739204280078411,0.02739204280078411
stage3,2Nm,current_only_degraded,-2.0,20260806,4,0.4020713269710541,0.5979287028312683,1.0,1.0,1.0,1.0,0.027287732809782028,0.027287732809782028
stage3,2Nm,current_only_degraded,-2.0,20260806,5,0.4020477831363678,0.597952127456665,1.0,1.0,1.0,1.0,0.02732422761619091,0.02732422761619091
stage3,2Nm,current_only_degraded,-4.0,20260806,1,0.3873206675052643,0.6126793026924133,1.0,1.0,1.0,1.0,0.02571258880198002,0.02571258693933487
stage3,2Nm,current_only_degraded,-4.0,20260806,2,0.3873377740383148,0.6126622557640076,1.0,1.0,1.0,1.0,0.025818588212132454,0.025818590074777603
stage3,2Nm,current_only_degraded,-4.0,20260806,3,0.38730669021606445,0.6126933693885803,1.0,1.0,1.0,1.0,0.025720469653606415,0.025720471516251564
stage3,2Nm,current_only_degraded,-4.0,20260806,4,0.38743579387664795,0.612564206123352,1.0,1.0,1.0,1.0,0.02568451128900051,0.02568451315164566
stage3,2Nm,current_only_degraded,-4.0,20260806,5,0.3873283565044403,0.6126716136932373,1.0,1.0,1.0,1.0,0.025725219398736954,0.025725219398736954
stage3,2Nm,current_only_degraded,-6.0,20260806,1,0.37579816579818726,0.6242018342018127,1.0,1.0,1.0,1.0,0.024625033140182495,0.024625033140182495
