load,scenario,snr_db,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weight_vibration_mean,weight_vibration_sd,weight_current_mean,weight_current_sd,model_seeds
2Nm,both_modalities_degraded,-10.0,0.8922333333333334,0.07294474316601275,0.8890283401384127,0.07733105546440872,0.491221559047699,0.11426012764231207,0.5087784389654796,0.11426013354174325,3
2Nm,both_modalities_degraded,-8.0,0.9787666666666667,0.008582669877271456,0.9787121694336646,0.008633563598056082,0.5006917238235474,0.1154880857404015,0.49930826624234514,0.1154880951786198,3
2Nm,both_modalities_degraded,-6.0,0.9948333333333333,0.0030944394574067675,0.9948326840064508,0.0030948716679400304,0.5107930839061737,0.11586194332122211,0.4892069220542908,0.11586194856394536,3
2Nm,both_modalities_degraded,-4.0,0.9994999999999999,0.0002828427124745879,0.9994999978645605,0.00028284411197626656,0.5228741109371186,0.11449077635718775,0.47712589502334596,0.11449077163606193,3
2Nm,both_modalities_degraded,-2.0,1.0,0.0,1.0,0.0,0.535753047466278,0.11146143936940815,0.46424695452054343,0.11146143208091838,3
2Nm,both_modalities_degraded,0.0,0.9999666666666668,4.714045207909797e-05,0.9999666666145832,4.714052573616512e-05,0.548122105995814,0.10748030815427212,0.45187787810961405,0.107480295972928,3
2Nm,current_only_degraded,-10.0,0.9990333333333333,0.0012970050972228764,0.9990332811945889,0.0012970786875855721,0.5151766081651052,0.12284959637577826,0.4848234017690023,0.12284959380109498,3
2Nm,current_only_degraded,-8.0,0.9998,0.00021602468994695627,0.9997999990624947,0.000216025895449203,0.5177831232547759,0.1222249163741405,0.48221685489018756,0.12222492126048101,3
2Nm,current_only_degraded,-6.0,1.0,0.0,1.0,0.0,0.5225797812143962,0.12048100041127212,0.4774202128251394,0.12048101269286032,3
2Nm,current_only_degraded,-4.0,1.0,0.0,1.0,0.0,0.5300484240055084,0.11723359498812523,0.46995157798131304,0.117233585019152,3
2Nm,current_only_degraded,-2.0,1.0,0.0,1.0,0.0,0.5390249729156494,0.1126380745117193,0.4609750270843506,0.11263806229428308,3
2Nm,current_only_degraded,0.0,0.9999666666666668,4.714045207909797e-05,0.9999666666145832,4.714052573616512e-05,0.548122105995814,0.10748030815427212,0.45187787810961405,0.107480295972928,3
