variant,condition,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,reference_mean_difference,macro_f1_reference_mean_difference,comparison_type,params_m,seeds,retained_after_trim,aggregation,accuracy_untrimmed_mean,accuracy_untrimmed_sd,macro_f1_untrimmed_mean,macro_f1_untrimmed_sd
attention_dim_128,2Nm_0dB,0.9996875000000001,0.0006584783595532948,0.9996874936521873,0.000658494404813591,-0.00021249999999994884,-0.00021250634781266875,unpaired_aggregated_reference_difference,4.601037,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9981500000000001,0.0047542086618069315,0.9981474308191858,0.0047618404569497634
attention_dim_128,4Nm_-8dB,0.8754375000000001,0.04249149731122687,0.8736949807874386,0.04410619565675376,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,4.601037,10,8,trimmed_mean_sd_drop_one_high_one_low,0.8721,0.0506170919749446,0.8700556456018707,0.05268911377990305
attention_dim_128,4Nm_0dB,0.9841249999999999,0.018846004218401335,0.9838455782604456,0.01942394952295446,-0.008375000000000132,-0.008654421739554441,unpaired_aggregated_reference_difference,4.601037,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9789499999999999,0.02720059741990975,0.9784295695505006,0.028160402184823373
direct_softmax,2Nm_0dB,0.994125,0.008738385148298276,0.9941125378002238,0.008765140244430899,-0.005774999999999975,-0.0057874621997762166,unpaired_aggregated_reference_difference,7.380167,10,8,trimmed_mean_sd_drop_one_high_one_low,0.98895,0.019230769615384613,0.9889292997421094,0.019267081673604133
direct_softmax,4Nm_-8dB,0.7028749999999999,0.16486751309763847,0.6717684727921718,0.19274892378739902,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,7.380167,10,8,trimmed_mean_sd_drop_one_high_one_low,0.6778,0.2285503445632931,0.6399228306034124,0.2688449470223761
direct_softmax,4Nm_0dB,0.97525,0.0331096662622866,0.9745922212570554,0.03417525798508481,-0.0172500000000001,-0.01790777874294469,unpaired_aggregated_reference_difference,7.380167,10,8,trimmed_mean_sd_drop_one_high_one_low,0.95475,0.07613483105648819,0.9518981242180935,0.0827760907944182
equal_weights,2Nm_0dB,1.0,0.0,1.0,0.0,9.999999999998899e-05,9.999999999998899e-05,unpaired_aggregated_reference_difference,7.359685,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9999,0.00030000000000000024,0.9998999993749962,0.0003000018750117128
equal_weights,4Nm_-8dB,0.8891875,0.016909571069367788,0.8885138991974966,0.0167341619787752,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,7.359685,10,8,trimmed_mean_sd_drop_one_high_one_low,0.89035,0.026180192894629327,0.8874121993309684,0.03084272993775483
equal_weights,4Nm_0dB,0.9958125,0.005567413560173165,0.9958058883330804,0.005579060217824735,0.0033124999999999405,0.00330588833308032,unpaired_aggregated_reference_difference,7.359685,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9810500000000001,0.045970887526781565,0.9781754881579886,0.054532427710535084
homogeneous_other,2Nm_0dB,0.9445,0.04180535252811537,0.9405072841610619,0.04765535042259217,-0.055400000000000005,-0.059392715838938126,unpaired_aggregated_reference_difference,8.784333,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9374500000000001,0.05648072680127269,0.9296722243808586,0.06930188872312244
homogeneous_other,4Nm_-8dB,0.7576875000000001,0.04699397401529265,0.7359242607223118,0.06546901116309405,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,8.784333,10,8,trimmed_mean_sd_drop_one_high_one_low,0.74325,0.08623550602854951,0.7214240590580931,0.10266381022078404
homogeneous_other,4Nm_0dB,0.926125,0.04810194252834287,0.9246434188331387,0.05108216720142058,-0.06637500000000007,-0.06785658116686133,unpaired_aggregated_reference_difference,8.784333,10,8,trimmed_mean_sd_drop_one_high_one_low,0.91655,0.06915831475679551,0.9129250780962741,0.07605364269690958
homogeneous_vibration,2Nm_0dB,0.9998125,0.0002420614591379369,0.9998124997070308,0.00024206183735958934,-8.750000000001812e-05,-8.750029296922257e-05,unpaired_aggregated_reference_difference,5.976013,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9993000000000001,0.0016155494421403382,0.9992998957615864,0.0016158584227339483
homogeneous_vibration,4Nm_-8dB,0.83875,0.0380008223595227,0.8357140207944487,0.0405000099925264,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,5.976013,10,8,trimmed_mean_sd_drop_one_high_one_low,0.8406499999999999,0.05188643849793509,0.8384260968670671,0.05328549523677387
homogeneous_vibration,4Nm_0dB,0.995125,0.0053837138668395195,0.9951218565024099,0.00538882023173109,0.0026249999999999885,0.0026218565024098694,unpaired_aggregated_reference_difference,5.976013,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9939500000000001,0.007198784619642404,0.9939412557201909,0.0072148047450639585
