variant,condition,seed,params_m,accuracy,macro_precision,macro_recall,macro_f1,record_type,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,reference_mean_difference,macro_f1_reference_mean_difference,comparison_type,seeds,retained_after_trim,aggregation,accuracy_untrimmed_mean,accuracy_untrimmed_sd,macro_f1_untrimmed_mean,macro_f1_untrimmed_sd
equal_weights,2Nm_0dB,20260806.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260806.0,7.359685,0.995,0.9951219512195122,0.995,0.9949992186279106,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260806.0,7.359685,0.88,0.9125267612646252,0.8800000000000001,0.8803439711162053,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260807.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260807.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260807.0,7.359685,0.8695,0.9032985273619064,0.8695,0.8692705283405386,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260808.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260808.0,7.359685,0.999,0.999004975124378,0.999,0.998999993749961,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260808.0,7.359685,0.9425,0.947016720332079,0.9425,0.9431050370486244,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260809.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260809.0,7.359685,0.982,0.98348623853211,0.982,0.9819634760389788,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260809.0,7.359685,0.8835,0.8897704116626224,0.8835000000000001,0.8802151765877678,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260810.0,7.359685,0.999,0.999004975124378,0.999,0.998999993749961,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260810.0,7.359685,0.844,0.9103587825674374,0.8440000000000001,0.8153077749152426,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260810.0,7.359685,0.8475,0.8809111269715568,0.8474999999999999,0.8229057626810862,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260811.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260811.0,7.359685,0.998,0.9980124131358948,0.998,0.9979980889767626,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260811.0,7.359685,0.894,0.9124163266374682,0.8939999999999999,0.8941203379828094,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260812.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260812.0,7.359685,0.998,0.998019801980198,0.998,0.99799994999875,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260812.0,7.359685,0.9065,0.9262797272484872,0.9065,0.9071811867367738,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260813.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260813.0,7.359685,0.9945,0.9945598538618916,0.9945,0.99448637927228,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260813.0,7.359685,0.895,0.9019402952670428,0.8949999999999999,0.8934954430291073,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260814.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260814.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260814.0,7.359685,0.919,0.9242374635257672,0.919,0.9173232560626892,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,20260815.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_0dB,20260815.0,7.359685,1.0,1.0,1.0,1.0,raw,,,,,,,,,,,,,,
equal_weights,4Nm_-8dB,20260815.0,7.359685,0.866,0.8897815801983034,0.866,0.8661612937240808,raw,,,,,,,,,,,,,,
equal_weights,2Nm_0dB,,7.359685,,,,,summary,1.0,0.0,1.0,0.0,9.999999999998899e-05,9.999999999998899e-05,unpaired_aggregated_reference_difference,10.0,8.0,trimmed_mean_sd_drop_one_high_one_low,0.9999,0.0003,0.9998999993749962,0.0003000018750117
equal_weights,4Nm_-8dB,,7.359685,,,,,summary,0.8891875,0.0169095710693677,0.8885138991974966,0.0167341619787752,not_applicable,not_applicable,no_stage2_full_reference_for_noise_condition,10.0,8.0,trimmed_mean_sd_drop_one_high_one_low,0.89035,0.0261801928946293,0.8874121993309684,0.0308427299377548
equal_weights,4Nm_0dB,,7.359685,,,,,summary,0.9958125,0.0055674135601731,0.9958058883330804,0.0055790602178247,0.0033124999999999405,0.00330588833308032,unpaired_aggregated_reference_difference,10.0,8.0,trimmed_mean_sd_drop_one_high_one_low,0.98105,0.0459708875267815,0.9781754881579886,0.054532427710535
