variant,condition,seed,params_m,accuracy,macro_precision,macro_recall,macro_f1
full,2Nm_0dB,20260806,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260806,7.380173,0.9995,0.9995012468827932,0.9995,0.9994999992187488
full,4Nm_-8dB,20260806,7.380173,0.922,0.9332305174041486,0.922,0.9227258636733986
full,2Nm_0dB,20260807,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260807,7.380173,0.989,0.9894419538426004,0.989,0.9889574703604356
full,4Nm_-8dB,20260807,7.380173,0.9615,0.9634174402347512,0.9615,0.9618118571844684
full,2Nm_0dB,20260808,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260808,7.380173,1.0,1.0,1.0,1.0
full,4Nm_-8dB,20260808,7.380173,0.9655,0.9688124574802952,0.9655,0.9658925463172776
full,2Nm_0dB,20260809,7.380173,0.997,0.9970443349753694,0.997,0.9969998312405072
full,4Nm_0dB,20260809,7.380173,0.89,0.929032258064516,0.89,0.881885117232685
full,4Nm_-8dB,20260809,7.380173,0.705,0.8472240525283661,0.705,0.6746978914987548
full,2Nm_0dB,20260810,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260810,7.380173,0.9715,0.9747226199975952,0.9715,0.9712632287389608
full,4Nm_-8dB,20260810,7.380173,0.9265,0.9261893649215562,0.9265,0.9263059992634266
full,2Nm_0dB,20260811,7.380173,0.9995,0.9995012468827932,0.9995,0.9994999992187488
full,4Nm_0dB,20260811,7.380173,0.9995,0.9995012468827932,0.9995,0.9994999992187488
full,4Nm_-8dB,20260811,7.380173,0.6895,0.7840191214896575,0.6895,0.6789547348555263
full,2Nm_0dB,20260812,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260812,7.380173,1.0,1.0,1.0,1.0
full,4Nm_-8dB,20260812,7.380173,0.9435,0.947884816610126,0.9435,0.9438456453745342
full,2Nm_0dB,20260813,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260813,7.380173,0.9485,0.9563732352442053,0.9485,0.9469813476680716
full,4Nm_-8dB,20260813,7.380173,0.8905,0.9015635957154507,0.8905000000000001,0.8867966080279762
full,2Nm_0dB,20260814,7.380173,1.0,1.0,1.0,1.0
full,4Nm_0dB,20260814,7.380173,0.9965,0.9965601965601966,0.9965,0.996499732010732
full,4Nm_-8dB,20260814,7.380173,0.9425,0.9465072270466364,0.9425,0.9428687963753112
