variant,n_train,run_idx,seed,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,train_accuracy,heldout_accuracy,generalization_gap,split_signature,data_signature,hyperparameter_signature,source_type,train_time_s
full,1,1,101,0.6240601503759399,0.7212453005469587,0.6240601503759399,0.5788865384546513,1.0,0.6240601539611816,0.37593984603881836,25ea856c6e018ff324d9d352ec6ecde6e717f24cc8fe8a2d6b965ede2937af20,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,232.27565359999997
no_caim,1,1,101,0.48549946294307195,0.5451731819195658,0.48549946294307195,0.4428050678451209,1.0,0.48549947142601013,0.5145005285739899,25ea856c6e018ff324d9d352ec6ecde6e717f24cc8fe8a2d6b965ede2937af20,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,240.50296099999997
full,1,2,102,0.48764769065520946,0.564615734286636,0.4876476906552094,0.4746870139392413,1.0,0.48764768242836,0.51235231757164,821edebca0d28bc062cecd84492971387df392e9225ebc6d2af2f37c704e4a14,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,327.7528718
no_caim,1,2,102,0.4897959183673469,0.5958499291902211,0.489795918367347,0.46128809278837307,1.0,0.4897959232330322,0.5102040767669678,821edebca0d28bc062cecd84492971387df392e9225ebc6d2af2f37c704e4a14,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,326.4368244
full,1,3,103,0.49122807017543857,0.6386993731458456,0.4912280701754386,0.49707799544686165,1.0,0.4912280738353729,0.5087719261646271,4ac2389a80067ebd1f2dd687ddfef3a00e90e02b9e4d5d0458325425afbd6cf7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,290.08068300000014
no_caim,1,3,103,0.4582885785893305,0.5991963956574357,0.45828857858933036,0.4331884613369626,1.0,0.4582885801792145,0.5417114198207855,4ac2389a80067ebd1f2dd687ddfef3a00e90e02b9e4d5d0458325425afbd6cf7,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,278.48254069999984
full,1,4,104,0.6154672395273899,0.6484321255626339,0.6154672395273899,0.5662704945278957,1.0,0.6154672503471375,0.38453274965286255,29ac620da102e1ea9a9674c413ea2b6c4452dd06d2e465e875e0c26ab0aef8fe,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,283.99132459999987
no_caim,1,4,104,0.3673469387755102,0.5194780808852865,0.3673469387755102,0.3291786295604356,1.0,0.36734694242477417,0.6326530575752258,29ac620da102e1ea9a9674c413ea2b6c4452dd06d2e465e875e0c26ab0aef8fe,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,256.9634507999999
full,1,5,105,0.43573218761188687,0.5005839791752847,0.43573218761188687,0.41708756504070765,1.0,0.4357321858406067,0.5642678141593933,f61b8c8948cc22b83a86af9ee1146ecf5a162c6d30c81d349e24640de6705890,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,298.7378963000001
no_caim,1,5,105,0.40565699964196206,0.45958943184959694,0.40565699964196206,0.33671810948297265,1.0,0.40565699338912964,0.5943430066108704,f61b8c8948cc22b83a86af9ee1146ecf5a162c6d30c81d349e24640de6705890,fceed958e6a2014a43a3c3ed8c6aa5c941680d1c6a82b0dcda6f4bf2a2a4ef35,5ad8b2b0c14afbdbcd128a062936a76cd3464251f9c448f76b8dc3ff0b5781b1,new_paper_aligned_training,244.36701240000002
