variant,n_train,seeds,seeds_total,retained_after_trim,aggregation,test_accuracy_mean,test_accuracy_sd,test_accuracy_untrimmed_mean,test_accuracy_untrimmed_sd,test_macro_precision_mean,test_macro_precision_sd,test_macro_precision_untrimmed_mean,test_macro_precision_untrimmed_sd,test_macro_recall_mean,test_macro_recall_sd,test_macro_recall_untrimmed_mean,test_macro_recall_untrimmed_sd,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_untrimmed_mean,test_macro_f1_untrimmed_sd,train_accuracy_mean,train_accuracy_sd,train_accuracy_untrimmed_mean,train_accuracy_untrimmed_sd,heldout_accuracy_mean,heldout_accuracy_sd,heldout_accuracy_untrimmed_mean,heldout_accuracy_untrimmed_sd,generalization_gap_mean,generalization_gap_sd,generalization_gap_untrimmed_mean,generalization_gap_untrimmed_sd
full,1,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.5272556390977443,0.042276511867560276,0.5277837450769781,0.05660679664311087,0.617297869681879,0.04000201262380188,0.6160212237177276,0.061001795451524524,0.5272556390977443,0.042276511867560276,0.5277837450769781,0.05660679664311088,0.5201412635263312,0.03462941974568671,0.5157104211706008,0.04844411435204491,1.0,0.0,1.0,0.0,0.5272556357085705,0.042276516368566545,0.5277837425470352,0.05660680025546302,0.4727443642914295,0.042276516368566545,0.4722162574529648,0.05660680025546302
full,2,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.7551597272074659,0.08471485692073324,0.7529073941134243,0.10020173431526236,0.8368111159442958,0.034344717874436104,0.8289655818484098,0.06378563291305527,0.7551597272074659,0.08471485692073324,0.7529073941134243,0.10020173431526233,0.7574904593457508,0.07926231776657372,0.7548497131541799,0.09663627634984687,1.0,0.0,1.0,0.0,0.7551597282290459,0.08471485016493906,0.752907395362854,0.10020172304851735,0.24484027177095413,0.08471485016493906,0.247092604637146,0.10020172304851735
full,3,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.8020421014753508,0.07452164545474547,0.7995322058294351,0.09224202023630727,0.8436715178512049,0.04447480419269413,0.8473537915962135,0.05345009598398376,0.8020421014753508,0.07452164545474547,0.799532205829435,0.09224202023630726,0.7999893768163743,0.07314874428282969,0.7985230438420358,0.09014335204196647,1.0,0.0,1.0,0.0,0.8020421117544174,0.07452165781918961,0.7995322108268738,0.09224203137376144,0.19795788824558258,0.07452165781918961,0.20046778917312622,0.09224203137376143
full,4,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9320436507936507,0.02728912401875828,0.9280663780663782,0.03894172735013486,0.9373874503846251,0.025135411433189828,0.9331241462709088,0.036861828882912395,0.9320436507936507,0.02728912401875831,0.9280663780663782,0.038941727350134896,0.9308102510943767,0.02810220012439504,0.9267912090354729,0.039897341525192476,1.0,0.0,1.0,0.0,0.9320436418056488,0.027289119052661487,0.9280663728713989,0.038941719198632326,0.0679563581943512,0.027289119052661487,0.07193362712860107,0.038941719198632326
full,5,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.8963381555153707,0.03904080713527477,0.9003616636528029,0.04741802205388249,0.909378272023907,0.03662988438776514,0.9126116324452715,0.04306330902971347,0.8963381555153707,0.03904080713527483,0.9003616636528028,0.04741802205388253,0.8948570958216635,0.03965456728469209,0.8989802578824146,0.04814030238231894,1.0,0.0,1.0,0.0,0.8963381573557854,0.03904079848745731,0.9003616631031036,0.047418012566612426,0.10366184264421463,0.03904079848745731,0.09963833689689636,0.047418012566612426
full,7,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9460650672482733,0.038922937870815515,0.9316975645219919,0.06973890935385561,0.9546999984580533,0.026378058751467898,0.9488545558252588,0.04010940863596817,0.9460650672482734,0.03892293787081545,0.9316975645219921,0.06973890935385561,0.9435407161568699,0.0440919355017271,0.9271963130673706,0.07791269413133828,0.9948979591836735,0.013498731178900988,0.9897959183673469,0.020912144420325705,0.9460650756955147,0.03892293273915238,0.9316975712776184,0.0697389120128846,0.04628186307999553,0.023511664388941544,0.05809834708972853,0.05421752633058833
full,10,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.9785714285714286,0.00888797476816916,0.9727106227106226,0.02285505884178395,0.9798494029408491,0.0077283282009747946,0.9754003027648525,0.018194542547909493,0.9785714285714286,0.008887974768169146,0.9727106227106228,0.022855058841783932,0.9785067883020226,0.00894039559858721,0.9724473882343405,0.023438790458151126,1.0,0.0,0.9957142857142858,0.012857142857142845,0.9785714149475098,0.008887982221999451,0.9727106094360352,0.022855054733062985,0.021428585052490234,0.008887982221999451,0.023003676278250562,0.011954866631678229
no_caim,1,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.4450859291084855,0.045166894749056476,0.43344074471894023,0.08216486580358788,0.5412470141593467,0.04214699818851464,0.5158946432540861,0.10578876540012569,0.4450859291084855,0.04516689474905646,0.43344074471894023,0.08216486580358787,0.4128965627460838,0.05372181916639348,0.402072865880171,0.0835994649771001,1.0,0.0,1.0,0.0,0.44508593156933784,0.045166894236069705,0.4334407478570938,0.08216486905226761,0.5549140684306622,0.045166894236069705,0.5665592521429061,0.08216486905226761
no_caim,2,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.5703966259870783,0.05887353678809965,0.5722182340272792,0.08836715776662266,0.651793746665084,0.0626373586006654,0.6480269993274514,0.08479010138944905,0.5703966259870783,0.058873536788099645,0.5722182340272792,0.08836715776662264,0.5563004398559794,0.06226587859712838,0.5579925650551607,0.08670373103154408,1.0,0.0,1.0,0.0,0.5703966282308102,0.05887353265386591,0.5722182363271713,0.08836715650390191,0.42960337176918983,0.05887353265386591,0.42778176367282866,0.0883671565039019
no_caim,3,10,10,8,trimmed_mean_sd_drop_one_high_one_low,0.6995771860381432,0.07795939616881788,0.6754947822957899,0.13543809465773055,0.7447558267425037,0.08454992820437066,0.7221059133588758,0.1311859917164156,0.6995771860381432,0.07795939616881792,0.6754947822957899,0.1354380946577306,0.6802501966166493,0.07423130917368903,0.6594433558625722,0.1280793421656092,1.0,0.0,1.0,0.0,0.6995771825313568,0.07795940935654624,0.6754947781562806,0.135438094094929,0.3004228174686432,0.07795940935654624,0.3245052218437195,0.135438094094929
