source_type,reference_type,source_table,case,load,n_train,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,runs,retained_after_trim,aggregation,benchmark_scope,comparison_type
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,MRCFN,0.6521,0.0788,0.6198,0.1063,0.6696,0.1307,0.6520795660036166,0.0788422615580444,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,MRCFN,0.6348,0.1215,0.6015,0.1541,0.6731,0.1962,0.6347985347985348,0.1214560546581012,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,MRCFN,0.831,0.0331,0.8253,0.0369,0.8519,0.0367,0.7015306122448981,0.12557418182714167,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,MRCFN,0.862,0.0448,0.858,0.0477,0.8691,0.0412,0.6364661654135338,0.24151546041841812,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,25,MRCFN,0.9047,0.0446,0.9035,0.0456,0.9096,0.044,0.6721904761904762,0.19657382796616096,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,30,MRCFN,0.9577,0.0226,0.9575,0.0229,0.9594,0.0223,0.7415057915057914,0.23215752608595835,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,5,CFFN,0.7683,0.0579,0.7601,0.0559,0.7957,0.0494,0.7501356238698011,0.057912627581961966,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,10,CFFN,0.8168,0.0244,0.8075,0.0266,0.8239,0.0202,0.8310897435897436,0.044513572542039276,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,15,CFFN,0.811,0.0186,0.8027,0.0193,0.8122,0.018,0.9745361781076067,0.016090742877847085,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
main_manuscript_deep_reference,main_manuscript_aggregated_reference,Table 5,UO,held-out,20,CFFN,0.8731,0.0164,0.8695,0.0172,0.8747,0.0158,0.9794642857142857,0.01088106817930617,10,8,trimmed_mean_sd_drop_one_high_one_low,main-manuscript deep-model aggregated references; no deep-model training or per-seed pairing,descriptive_aggregated_reference_only
