case,load,n_train,seed,snr_db,method,accuracy,macro_precision,macro_recall,macro_f1
UO,held-out,5,20260806,,TF-SVM early fusion,0.8108499095840868,0.832887709881755,0.8108499095840868,0.8119491850370418
UO,held-out,5,20260806,,TF-SVM late fusion,0.8864376130198915,0.8967923976724211,0.8864376130198914,0.8856820247778016
UO,held-out,10,20260806,,TF-SVM early fusion,0.958974358974359,0.9602403694821298,0.958974358974359,0.9589411157878815
UO,held-out,10,20260806,,TF-SVM late fusion,0.9846153846153847,0.9848495358369,0.9846153846153847,0.9845060765605258
UO,held-out,15,20260806,,TF-SVM early fusion,0.9907235621521335,0.9909820333548207,0.9907235621521335,0.9907475130413629
UO,held-out,15,20260806,,TF-SVM late fusion,0.9951762523191094,0.9952139978434305,0.9951762523191094,0.9951804291585217
UO,held-out,20,20260806,,TF-SVM early fusion,0.9951127819548872,0.9951541780757884,0.9951127819548873,0.9951100877910788
UO,held-out,20,20260806,,TF-SVM late fusion,0.9943609022556391,0.9943891175097258,0.9943609022556391,0.9943522950786255
UO,held-out,25,20260806,,TF-SVM early fusion,0.9977142857142857,0.9977324263038548,0.9977142857142856,0.9977137350605156
UO,held-out,25,20260806,,TF-SVM late fusion,0.9950476190476191,0.995066603834177,0.9950476190476191,0.9950408935082312
UO,held-out,30,20260806,,TF-SVM early fusion,0.9961389961389961,0.9961770341519618,0.9961389961389961,0.9961404509071039
UO,held-out,30,20260806,,TF-SVM late fusion,0.9953667953667954,0.9953842066912558,0.9953667953667953,0.9953630413012275
UO,held-out,5,20260807,,TF-SVM early fusion,0.9099457504520796,0.9238573539132429,0.9099457504520796,0.9112772337586457
UO,held-out,5,20260807,,TF-SVM late fusion,0.9609403254972875,0.9639072432771301,0.9609403254972876,0.9610103520677091
UO,held-out,10,20260807,,TF-SVM early fusion,0.9575091575091575,0.9594580883184316,0.9575091575091575,0.9574916535847099
UO,held-out,10,20260807,,TF-SVM late fusion,0.9824175824175824,0.9830198375400426,0.9824175824175825,0.9824056266960695
UO,held-out,15,20260807,,TF-SVM early fusion,0.9940630797773655,0.9941013945429724,0.9940630797773655,0.9940530855181706
UO,held-out,15,20260807,,TF-SVM late fusion,0.9955473098330241,0.9955965554176733,0.9955473098330242,0.9955485465418921
UO,held-out,20,20260807,,TF-SVM early fusion,0.9932330827067669,0.9933329288434345,0.9932330827067669,0.9932197051035264
UO,held-out,20,20260807,,TF-SVM late fusion,0.9921052631578947,0.9923398785398548,0.9921052631578948,0.9921210336279536
UO,held-out,25,20260807,,TF-SVM early fusion,0.9973333333333333,0.9973462940930522,0.9973333333333334,0.99732918761279
UO,held-out,25,20260807,,TF-SVM late fusion,0.9969523809523809,0.9969564282192567,0.9969523809523809,0.9969533927637034
UO,held-out,30,20260807,,TF-SVM early fusion,0.9996138996138996,0.9996149403157489,0.9996138996138997,0.999613898908821
UO,held-out,30,20260807,,TF-SVM late fusion,0.9988416988416988,0.9988468911606029,0.9988416988416989,0.9988416924959598
UO,held-out,5,20260808,,TF-SVM early fusion,0.8307414104882459,0.8437851393045103,0.8307414104882459,0.8218523452499839
UO,held-out,5,20260808,,TF-SVM late fusion,0.8260397830018084,0.8447189113922289,0.8260397830018082,0.8192994372094845
UO,held-out,10,20260808,,TF-SVM early fusion,0.9494505494505494,0.9555438633645019,0.9494505494505495,0.9510210893630553
UO,held-out,10,20260808,,TF-SVM late fusion,0.9417582417582417,0.9443570880029741,0.9417582417582419,0.9412005397230218
UO,held-out,15,20260808,,TF-SVM early fusion,0.9903525046382189,0.9903467885844103,0.9903525046382189,0.9903310932061976
UO,held-out,15,20260808,,TF-SVM late fusion,0.975139146567718,0.9765003549204903,0.975139146567718,0.9747527658158411
UO,held-out,20,20260808,,TF-SVM early fusion,0.9932330827067669,0.9932484530760738,0.9932330827067669,0.9932073100362074
UO,held-out,20,20260808,,TF-SVM late fusion,0.9672932330827068,0.9695229413946297,0.9672932330827068,0.9667406697024667
UO,held-out,25,20260808,,TF-SVM early fusion,0.993904761904762,0.9939371160270364,0.993904761904762,0.9938838757613994
UO,held-out,25,20260808,,TF-SVM late fusion,0.9813333333333333,0.9824837737652611,0.9813333333333333,0.9811343916834511
UO,held-out,30,20260808,,TF-SVM early fusion,0.9953667953667954,0.9953838976622272,0.9953667953667954,0.9953608936167816
UO,held-out,30,20260808,,TF-SVM late fusion,0.9907335907335907,0.9910314471022342,0.9907335907335908,0.9907112001695729
UO,held-out,5,20260809,,TF-SVM early fusion,0.9334538878842676,0.9333063362006673,0.9334538878842676,0.9326927417096907
UO,held-out,5,20260809,,TF-SVM late fusion,0.9453887884267631,0.9458623934583047,0.9453887884267631,0.9450466633007694
UO,held-out,10,20260809,,TF-SVM early fusion,0.9619047619047619,0.9639145106697308,0.9619047619047619,0.9614435291497242
UO,held-out,10,20260809,,TF-SVM late fusion,0.9663003663003663,0.9682576168327054,0.9663003663003664,0.9658769559700623
UO,held-out,15,20260809,,TF-SVM early fusion,0.9803339517625231,0.9809620711220679,0.980333951762523,0.9804580739932643
UO,held-out,15,20260809,,TF-SVM late fusion,0.9821892393320965,0.982808126160543,0.9821892393320963,0.982145115990339
UO,held-out,20,20260809,,TF-SVM early fusion,0.9890977443609023,0.9891376554484762,0.9890977443609023,0.9891055015246878
UO,held-out,20,20260809,,TF-SVM late fusion,0.9958646616541353,0.9958762003593125,0.9958646616541353,0.9958586245141455
UO,held-out,25,20260809,,TF-SVM early fusion,0.9969523809523809,0.9969655253037499,0.9969523809523809,0.996956428891103
UO,held-out,25,20260809,,TF-SVM late fusion,0.9984761904761905,0.9984802431610943,0.9984761904761905,0.9984751637327319
UO,held-out,30,20260809,,TF-SVM early fusion,0.9957528957528957,0.9957695134114576,0.9957528957528959,0.9957586153740119
UO,held-out,30,20260809,,TF-SVM late fusion,0.9980694980694981,0.9980725920167386,0.9980694980694981,0.9980684453812493
UO,held-out,5,20260810,,TF-SVM early fusion,0.7685352622061483,0.8406269812674705,0.7685352622061483,0.7594336037649694
UO,held-out,5,20260810,,TF-SVM late fusion,0.7768535262206149,0.8511102518824475,0.7768535262206149,0.7646361857185485
UO,held-out,10,20260810,,TF-SVM early fusion,0.9747252747252747,0.9750092258119479,0.9747252747252748,0.9746843838024912
